Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-03-13 00:00:00-05:00,0.05537956378995448,0.0635236907527519,0.05537956378995448,0.060808565467596054,1031788800,0.0,0.0
1986-03-14 00:00:00-05:00,0.06080856684739772,0.0640665923742453,0.06080856684739772,0.06298016756772995,308160000,0.0,0.0
1986-03-17 00:00:00-05:00,0.06298017145562954,0.06460949654280963,0.06298017145562954,0.06406659632921219,133171200,0.0,0.0
1986-03-18 00:00:00-05:00,0.06406659870967388,0.06460949894344334,0.06189437332818504,0.0624372735619545,67766400,0.0,0.0
1986-03-19 00:00:00-05:00,0.06243729382083026,0.0629801942307533,0.06080859259106116,0.06135149300098419,47894400,0.0,0.0
1986-03-20 00:00:00-05:00,0.06135145150724576,0.06135145150724576,0.05917985133626883,0.05972275137901306,58435200,0.0,0.0
1986-03-21 00:00:00-05:00,0.05972276233820717,0.06080856262294121,0.05700826162637208,0.05809406191110611,59990400,0.0,0.0
1986-03-24 00:00:00-05:00,0.05809403869171865,0.05809403869171865,0.05592243899020908,0.05646533891558647,65289600,0.0,0.0
1986-03-25 00:00:00-05:00,0.056465356539800275,0.05755115672945976,0.055922456444970535,0.05755115672945976,32083200,0.0,0.0
1986-03-26 00:00:00-05:00,0.05755114258779688,0.05972274243350294,0.05700824262637036,0.059179842472076416,22752000,0.0,0.0
1986-03-27 00:00:00-05:00,0.05917984906623962,0.06026564911007881,0.05917984906623962,0.06026564911007881,16848000,0.0,0.0
1986-03-31 00:00:00-05:00,0.0602656514217573,0.0602656514217573,0.0586369512935246,0.05972275137901306,12873600,0.0,0.0
1986-04-01 00:00:00-05:00,0.05972274243350294,0.05972274243350294,0.05917984247207642,0.059179842472076416,11088000,0.0,0.0
1986-04-02 00:00:00-05:00,0.05917985133626883,0.06080855146450153,0.05917985133626883,0.05972275137901306,27014400,0.0,0.0
1986-04-03 00:00:00-05:00,0.06026564911007881,0.06189434917583759,0.06026564911007881,0.06026564911007881,23040000,0.0,0.0
1986-04-04 00:00:00-05:00,0.06026564911007881,0.0608085491319984,0.06026564911007881,0.06026564911007881,26582400,0.0,0.0
1986-04-07 00:00:00-05:00,0.06026564239492945,0.060808542356355966,0.058094042549223394,0.059179842472076416,16560000,0.0,0.0
1986-04-08 00:00:00-05:00,0.05917985133626883,0.06080855146450153,0.05917985133626883,0.05972275137901306,10252800,0.0,0.0
1986-04-09 00:00:00-05:00,0.059722765132067736,0.06135146563536022,0.059722765132067736,0.060808565467596054,12153600,0.0,0.0
1986-04-10 00:00:00-05:00,0.06080859259106116,0.061894393410907224,0.059722791771215096,0.06135149300098419,13881600,0.0,0.0
1986-04-11 00:00:00-05:00,0.06189437332818504,0.0635236984759044,0.06189437332818504,0.0624372735619545,17222400,0.0,0.0
1986-04-14 00:00:00-05:00,0.0624372673876469,0.06352369219416223,0.0624372673876469,0.06298016756772995,12153600,0.0,0.0
1986-04-15 00:00:00-05:00,0.06298016756772995,0.06298016756772995,0.06080856684739772,0.06298016756772995,9302400,0.0,0.0
1986-04-16 00:00:00-05:00,0.06298015225175843,0.06569527693823916,0.062437252203701755,0.0651523768901825,31910400,0.0,0.0
1986-04-17 00:00:00-05:00,0.06515237089783416,0.06569527089595795,0.06515237089783416,0.06569527089595795,22003200,0.0,0.0
1986-04-18 00:00:00-05:00,0.0656952802741938,0.0656952802741938,0.06298015544984116,0.06352367997169495,21628800,0.0,0.0
1986-04-21 00:00:00-05:00,0.06352367997169495,0.06406658004731966,0.06189435529859173,0.06352367997169495,22924800,0.0,0.0
1986-04-22 00:00:00-05:00,0.0635236984759044,0.0635236984759044,0.0624372735619545,0.0624372735619545,15552000,0.0,0.0
1986-04-23 00:00:00-05:00,0.0624372653630458,0.06298016552552468,0.06189436520056692,0.06270871311426163,15609600,0.0,0.0
1986-04-24 00:00:00-05:00,0.0627087224149009,0.07003850247183421,0.06243727462342531,0.06895270198583603,62352000,0.0,0.0
1986-04-25 00:00:00-05:00,0.06949557037664882,0.07628244707992635,0.06949557037664882,0.07329649478197098,85795200,0.0,0.0
1986-04-28 00:00:00-04:00,0.07329652581660934,0.0743823262646895,0.07275300114616946,0.07383942604064941,28886400,0.0,0.0
1986-04-29 00:00:00-04:00,0.07383941951710402,0.07383941951710402,0.071124294190379,0.07166719436645508,30326400,0.0,0.0
1986-04-30 00:00:00-04:00,0.0716672209316553,0.07221012130897062,0.06840981866776336,0.07003851979970932,30902400,0.0,0.0
1986-05-01 00:00:00-04:00,0.07003850247183421,0.07003850247183421,0.06786690149983785,0.06895270198583603,54345600,0.0,0.0
1986-05-02 00:00:00-04:00,0.06895270198583603,0.07003850247183421,0.06840980174283694,0.06895270198583603,20246400,0.0,0.0
1986-05-05 00:00:00-04:00,0.06895270827255828,0.06895270827255828,0.06840980798006058,0.06840980798006058,3254400,0.0,0.0
1986-05-06 00:00:00-04:00,0.06895270198583603,0.07003850247183421,0.06895270198583603,0.06895270198583603,9734400,0.0,0.0
1986-05-07 00:00:00-04:00,0.06895270198583603,0.06949560222883512,0.06786690149983785,0.06895270198583603,5155200,0.0,0.0
1986-05-08 00:00:00-04:00,0.06895268101258445,0.06949558109045029,0.0684097809347186,0.06949558109045029,3542400,0.0,0.0
1986-05-09 00:00:00-04:00,0.06949560222883512,0.06949560222883512,0.06895270198583603,0.06895270198583603,6076800,0.0,0.0
1986-05-12 00:00:00-04:00,0.06895268101258445,0.07112428132404784,0.06895268101258445,0.06949558109045029,10483200,0.0,0.0
1986-05-13 00:00:00-04:00,0.069495619422394,0.07058142017702465,0.069495619422394,0.07003851979970932,3830400,0.0,0.0
1986-05-14 00:00:00-04:00,0.07003848116831614,0.07003848116831614,0.06949558109045029,0.06949558109045029,9302400,0.0,0.0
1986-05-15 00:00:00-04:00,0.06949558109045029,0.07058138124618199,0.06949558109045029,0.06949558109045029,3801600,0.0,0.0
1986-05-16 00:00:00-04:00,0.069495619422394,0.0716672209316553,0.069495619422394,0.07003851979970932,11952000,0.0,0.0
1986-05-19 00:00:00-04:00,0.07003850247183421,0.07003850247183421,0.06840980174283694,0.06895270198583603,11001600,0.0,0.0
1986-05-20 00:00:00-04:00,0.06895270827255828,0.06895270827255828,0.06786690768756287,0.06840980798006058,61977600,0.0,0.0
1986-05-21 00:00:00-04:00,0.06840978290257216,0.06895268299605489,0.06732398271560669,0.06732398271560669,8092800,0.0,0.0
